id,title,company,location,created,description,latitude,longitude,salary_min,salary_max,redirect_url
5310220101,Data Analyst,Cedar,"London, UK",2025-07-18T20:58:40Z,"Data Analyst (Sports betting sector experience required)Location: London (Hybrid)Salary: £50,000 About the RoleOur client, a global leader in the online sports betting and iGaming industry, is seeking a Data Analyst to join their high-performing finance function. This role plays a crucial part in safeguarding millions of customer transactions each year and ensuring the integrity of revenue processes across leading brands. What You'll DoYou'll be a key contributor to the team, supporting daily o…",,,50000,50000,https://www.adzuna.co.uk/jobs/land/ad/5310220101?se=eLpRAe1o8BGOTMe40IxpVA&utm_medium=api&utm_source=71ed0f1d&v=5CB8A9587276E8A39FA326A94C80560F9681111E
5284484425,Data Analyst,Salt Search,"London, UK",2025-07-04T13:42:30Z,"?? New Job Alert - Data Analyst - Transformation Team Role ?? ?? Southeast/Hybrid with occasional on-site work ?? £500 inside IR35 ?? 6-month contract initially (Strong chance of extension to match the project length) I'm working with a local authority in the Southeast who are looking for a Data Analyst to play a vital role in their newly formed transformation team. This is your chance to work in a high impact, high trust environment, helping reshape services across Adult Social Care and Housin…",,,130000,130000,https://www.adzuna.co.uk/jobs/land/ad/5284484425?se=eLpRAe1o8BGOTMe40IxpVA&utm_medium=api&utm_source=71ed0f1d&v=4D5E3C10253296B1BC6E856F6CD9C74428A36115
5315185487,Data Analyst,Harnham - Data & Analytics Recruitment,"London, UK",2025-07-21T20:20:18Z,"DATA ANALYST UP TO £75,000 SOUTH EAST LONDON - HYBRID - 3 DAYS IN OFFICE *Please note, you must be a UK resident and have full right to work in the UK* THE COMPANY This UK-based subscription service offers members daily prize draws for high-value items, from cars to holidays to cash prizes! There are also free entry routes to their prize draws. THE ROLE The client is looking for a sharp, well-rounded Data or BI Analyst with 4-5 years of experience and a knack for turning data into actionable in…",,,65000,75000,https://www.adzuna.co.uk/jobs/land/ad/5315185487?se=eLpRAe1o8BGOTMe40IxpVA&utm_medium=api&utm_source=71ed0f1d&v=67D6C9C6B59E9F251311AD6583BA28D89C02C70D
5314719885,Data Analyst,Michael Page Technology,"London, UK",2025-07-21T17:18:47Z,"This is a fantastic opportunity for a Junior Data Analyst to join the not-for-profit sector in London. The role involves analysing data to drive insights that support organisational goals and decision-making. Client Details The organisation operates within the not-for-profit sector and is committed to making a positive impact. Description Analyse complex datasets to identify trends, patterns, and actionable insights Support decision-making by creating detailed reports and dynamic Power BI dashb…",,,58500,71500,https://www.adzuna.co.uk/jobs/land/ad/5314719885?se=eLpRAe1o8BGOTMe40IxpVA&utm_medium=api&utm_source=71ed0f1d&v=1213E1C17F5B7E50F3685083BD4DD9EBF3AC8A6E
5275877616,Pension System Calculation & Data Analyst,LMA,"London, UK",2025-06-30T17:00:23Z,"Hiring: Pension System Calculation & Data Analyst | Permanent | London (Hybrid) Are you a Pensions Analyst with a knack for systems, calculations, and data? We’re working with our client, a leading organisation, to find a skilled Pension System Calculation and Data Analyst to join their team on a permanent basis. This is a fantastic opportunity to play a key role in maintaining and enhancing a major UK pension administration system (Altair), supporting complex benefit calculations, and driving …",,,47440.43,47440.43,https://www.adzuna.co.uk/jobs/land/ad/5275877616?se=eLpRAe1o8BGOTMe40IxpVA&utm_medium=api&utm_source=71ed0f1d&v=6BA2D796AA852B985403F9FB5795D9D3F321FAEE
5278838701,Finance Data Analyst,HAYS,"London, UK",2025-07-02T01:04:24Z,"Finance Data Analyst (6-month FTC) - Retail A 6-month FTC for a Finance Analyst to support a Transformation Programme for a large-scale retailer. Hands-on where you will work closely with project teams, finance leadership, and operational stakeholders to help shape and implement changes across the finance function. And scope for a longer-term opportunity too! Interested in speaking with qualified accountants (CIMA/ACCA/ACA) with previous experience on transformation programmes in retail or a fa…",,,70000,80000,https://www.adzuna.co.uk/jobs/land/ad/5278838701?se=eLpRAe1o8BGOTMe40IxpVA&utm_medium=api&utm_source=71ed0f1d&v=8B1B0A4A3AB69DC90892CA1A78E96B431E9C55C8
5255911485,Security Cleared Data Analyst,Talent,"London, UK",2025-06-18T08:56:12Z,"Security-Cleared Data Analyst – ERP Data Migration Contract Type: Initial 6-month contract (outside IR35) Rate: £450-500 per day DOE Clearance Required: Active SC Clearance The Role: We're seeking an experienced Data Analyst to join a high-impact digital transformation project within a secure government environment. This role focuses on the consolidation and migration of legacy systems into a new, centralised ERP platform . You’ll play a key role in mapping, transforming, and validating large d…",,,58346.1,58346.1,https://www.adzuna.co.uk/jobs/land/ad/5255911485?se=eLpRAe1o8BGOTMe40IxpVA&utm_medium=api&utm_source=71ed0f1d&v=F19CD68836FFBE35E3100819FD454DDAE2B87892
5266682306,Data Analyst - Customer & Trading,3Search,"London, UK",2025-06-25T05:47:17Z,"Customer Analyst - Food Delivery Up to £45,000 Food Delivery - Tech SW London - Hybrid, 2 days per week in the office Would you like to join a pioneering food delivery firm, where sustainability, ethical practices, and positive business impact are a key business strategy? We are looking for a skilled Customer Insight Analyst to be an integral part of our client’s marketing team. This role is ideal for you if you: Have a keen interest in data analytics within the food delivery and sustainability…",,,37455.13,37455.13,https://www.adzuna.co.uk/jobs/land/ad/5266682306?se=eLpRAe1o8BGOTMe40IxpVA&utm_medium=api&utm_source=71ed0f1d&v=DC8BE05D52606DB1ED875FA482642137B96B367F
5313275592,Quantitative Risk & Data Analyst,Richard James Recruitment Specialists Ltd,"The City, Central London",2025-07-20T08:19:07Z,"Our client is a trader of Commodity and Energy products including, Gas, Power, LNG and Oil, based in Central London. They offer a unique chance to work within a growing and diversifying business, with a strong commercial appetite. Working as part of the wider Commercial risk team, we are seeking a Quantitative minded professional with experience in the Power/Gas trading industry. The successful candidate will work closely with the traders, in hybrid role, look at both Quantitative Analysis, ris…",,,58194.84,58194.84,https://www.adzuna.co.uk/jobs/land/ad/5313275592?se=eLpRAe1o8BGOTMe40IxpVA&utm_medium=api&utm_source=71ed0f1d&v=4392602800539FB5ED1467838BD0D6F87FC86CFB
5255913336,Security Cleared Data Analyst,Talent,"The City, Central London",2025-06-18T08:59:11Z,"Security-Cleared Data Analyst – ERP Data Migration Contract Type: Initial 6-month contract (outside IR35) Rate: £450-500 per day DOE Clearance Required: Active SC Clearance The Role: We're seeking an experienced Data Analyst to join a high-impact digital transformation project within a secure government environment. This role focuses on the consolidation and migration of legacy systems into a new, centralised ERP platform . You’ll play a key role in mapping, transforming, and validating large d…",,,59057.01,59057.01,https://www.adzuna.co.uk/jobs/land/ad/5255913336?se=eLpRAe1o8BGOTMe40IxpVA&utm_medium=api&utm_source=71ed0f1d&v=4C501FE648F3CB9E55DF75F1FC838F00BD6C0333
